track,slice,x,y
1,415,1324,833
1,418,1332,838
1,421,1338,845
1,424,1338,846
1,427,1344,847
1,430,1347,848
1,433,1349,850
1,436,1349,851
1,439,1352,858
1,442,1356,864
1,445,1361,870
1,448,1372,876
1,451,1378,879
1,454,1381,887
1,457,1383,894
1,460,1390,897
1,463,1396,899
1,466,1399,902
1,469,1404,907
1,472,1412,910
1,475,1419,912
1,478,1422,912
1,481,1427,916
1,484,1433,917
1,487,1438,915
1,490,1440,914
1,493,1442,913
1,496,1440,914
1,499,1438,914
1,502,1437,912
1,505,1436,909
1,508,1431,909
1,511,1429,907
1,514,1429,903
1,517,1425,902
1,520,1425,905
1,523,1424,907
1,526,1425,910
1,529,1430,913
1,532,1438,911
1,535,1441,908
1,538,1446,915
1,541,1453,916
1,544,1457,917
1,547,1462,920
1,550,1463,920
1,553,1465,921
1,556,1468,922
1,559,1469,924
1,562,1470,926
1,565,1472,925
1,568,1472,926
1,571,1474,926
1,574,1475,926
1,577,1473,924
1,580,1471,922
1,583,1470,921
1,586,1472,923
1,589,1473,924
1,592,1473,922
1,595,1473,922
1,598,1474,923
1,601,1476,926
1,604,1476,926
1,607,1478,927
1,610,1480,928
1,613,1479,930
1,616,1481,931
1,619,1483,934
1,622,1485,936
1,625,1485,938
1,628,1485,941
1,631,1485,940
1,634,1486,940
1,637,1487,940
1,640,1486,940
1,643,1487,940
1,646,1483,939
1,649,1479,938
1,652,1478,939
1,655,1476,940
1,658,1474,942
1,661,1471,943
1,664,1471,945
1,667,1471,945
1,670,1470,947
1,673,1469,949
1,676,1468,949
1,679,1467,948
1,682,1466,949
1,685,1467,950
1,688,1468,951
1,691,1468,950
1,694,1467,950
1,697,1467,952
1,700,1467,953
1,703,1466,954
1,706,1466,953
1,709,1465,950
1,712,1466,948
1,715,1467,945
1,718,1464,945
1,721,1462,943
1,724,1463,942
1,727,1462,941
1,730,1458,935
1,733,1457,930
1,736,1456,928
1,739,1457,925
1,742,1460,925
1,745,1461,924
1,748,1460,924
1,751,1457,936
1,754,1457,943
1,757,1458,946
1,760,1457,947
1,763,1454,945
1,766,1456,946
1,769,1456,945
1,772,1458,945
1,775,1459,948
1,778,1459,950
1,781,1458,951
1,784,1458,951
1,787,1458,950
1,790,1462,948
1,793,1463,949
1,796,1467,951
1,799,1469,951
1,802,1470,950
1,805,1468,947
1,808,1467,945
1,811,1470,945
